Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-08-29;Kochems K et al.;28.08.2026;28.08.2026;PLoS One;2026;Palliative Reasoning in multiprofessioneller Palliativversorgung implementieren;Niederländische Studie zur iterativen Anpassung und Implementierung einer integrierten Intervention (Palliative Reasoning Working Method) in Primärversorgung, Hospizen und Pflegeheimen.;Palliative Reasoning wurde in 20 multiprofessionellen Teams erfolgreich implementiert. Es zeigte Verbesserungen bei Erkennung von Palliativbedarfen, patientenzentrierter Versorgung, Pflegekompetenz und Teamzusammenarbeit. 14 Inhaltsadaptationen und 7 Unterstützungsmaterialien wurden entwickelt. Integration in elektronische Gesundheitsakten und organisatorische Verankerung waren entscheidend für Nachhaltigkeit.;Niederlande, vergleichbares Sozialversicherungssystem, multiprofessionelle Strukturen;42664250;https://pubmed.ncbi.nlm.nih.gov/42664250/
2026-08-29;Cai ST et al.;Okt. 2026;28.08.2026;Health Serv Res;2026;Medicare Advantage und Nierenerkrankung im Endstadium nach Cures Act;US-Studie zur Veränderung der MA-Versichertenpopulation mit Nierenerkrankung im Endstadium nach Ausweitung der MA-Zulassung 2021 mittels Unterbruchszeitreihentechnik.;"Nach der Politikänderung waren MA-Versicherte mit Nierenerkrankung im Endstadium jünger, hatten niedrigere Komorbiditätsbelastung, aber niedrigeres Einkommen. Hospitalisierungsraten sank unmittelbar um 0,013 pro Versicherter-Monat (6 % relativer Rückgang; 95%-KI: -0,022 bis -0,003; p < 0,05).";US-Daten, fragmentiertes System mit Medicaid/Medicare, eingeschränkt übertragbar;42663502;https://pubmed.ncbi.nlm.nih.gov/42663502/
2026-08-29;Laternser C;Okt. 2026;28.08.2026;Health Serv Res;2026;Persistenz geburtshilflicher Versorgungsabsenz in US-Counties 2015–2023;Longitudinale Panelstudie der Persistenz und Übergangsdynamik fehlender geburtshilflicher Dienste in 3144 US-Counties mit Analysen von Übergangswahrscheinlichkeiten und Prävalenztrends.;"Geburtshilfliche Serviceabsenz war hochgradig persistent (Prevalenz stabil bei 34,2 %). Bevölkerungsexposition sank (6,5 % auf 5,3 % der Frauen 15–44 Jahre in Counties ohne Services). Jährliche Übergänge waren selten (Eintritt ≤ 0,4 %; Austritt ≤ 0,9 %). Bedingte Verweilwahrscheinlichkeiten ≥ 0,991.";"USA, sehr dezentrales System; Frage aber für Strukturplanung relevant";42663181;https://pubmed.ncbi.nlm.nih.gov/42663181/
2026-08-29;Coll-Planas L et al.;18.08.2026;28.08.2026;Lancet Reg Health Eur;2026;Naturgestützte Social Prescribing gegen Einsamkeit und Lebensqualität;Randomisierte kontrollierte Studie in Barcelona zu natur- und gruppenbasierter sozialer Verschreibung (Friends in Nature) bei gefährdeten städtischen Erwachsenen versus aktive Signposting.;"320 Teilnehmer (78% weiblich; Medianalter 62,8 Jahre) randomisiert. Bei 3 Monaten zeigten beide Gruppen signifikante Einsamkeitsreduktion um 10,5 % (Gesamtmittelwertänderung: -0,73; 95%-KI -1,04 bis -0,42), kein signifikanter Unterschied zwischen Gruppen (0,30; 95%-KI -0,26 bis 0,86; p = 0,296). Keine HRQoL-Veränderung.";Spanien, EU-Sozialversicherung, städtischer Kontext mit Deprivation;42662493;https://pubmed.ncbi.nlm.nih.gov/42662493/
2026-08-29;Hult M et al.;27.08.2026;27.08.2026;BMJ Open Qual;2026;Patientensicherheitskultur in integrierten Gesundheits- und Sozialdiensten (Finnland);Querschnittstudie zur Patientensicherheitskultur in 2623 Mitarbeitern von Krankenhaus-, Sozial- und Altenpflegediensten in finnischer Wellbeing Services County mittels SOPS 2.0 und Net Safety Score.;Teamwork erhielt höchste positive Bewertungen (71,1 %), Übergaben und Informationsaustausch niedrigste (22,6 %). Altenpflegedienste zeigten konsistent niedrigere Werte. Teamwork, Besetzung, Arbeitsgeschwindigkeit und organisatorisches Lernen waren stärkste NSS-Prädiktoren. Gesamtpositiv-NSS: 52,6 %. Regressionsmodelle erklärten 47,4 % (Krankenhaus), 47,0 % (Altenpflege) und 35,8 % (Sozial/Gesundheit) der NSS-Varianz.;Finnland, steuerfinanziert, aber auf integrierte Versorgungskultur übertragbar;42660605;https://pubmed.ncbi.nlm.nih.gov/42660605/
2026-08-29;Zikry HE et al.;26.08.2026;26.08.2026;J Gen Intern Med;2026;Ambulante Nachsorge bei Diabetes nach ED-Entlassung;Retrospektive Kohortenstudie (131.881 Patienten mit kommerzieller/MA-Versicherung, 2016–2022) zu Häufigkeit, Timing und Patientencharakteristika für ambulante Nachsorge innerhalb 30 Tage nach ED-Entlassung wegen Diabetes.;"46,1 % erhielten ambulante Nachsorge innerhalb 30 Tagen; 13,0 % kehrten vorher zur ED zurück. Nachsorgeraten stiegen moderat von 44 % (2016) auf 49 % (2022). Höheres Alter, kommerzielle Versicherung und vorherige ambulante Versorgungskontakte waren mit höherer Wahrscheinlichkeit assoziiert. Nicht-hispanische Schwarze, MA-Versicherte mit Niedrigeinkommenszuschuss, höhere Komorbiditäten und Typ-1-Diabetes zeigten niedrigere Wahrscheinlichkeit.";USA, aber Kontinuitätslücke und Versorgungsübergänge sind systemunabhängig relevant;42649455;https://pubmed.ncbi.nlm.nih.gov/42649455/
2026-08-28;Calabrò RS et al.;14.08.2026;27.08.2026;Healthcare (Basel);2026;Implementierung von Rehabilitations-Robotik in Regelversorgung: Systematisches Mapping;Mapping-Review zu Service-Delivery-Modellen, Implementierungsfaktoren und Real-World-Outcomes von Rehabilitations-Robotik in neurorehabilitation Kliniken (55 Studien).;Personalausstattung in 90,9 % der Studien dokumentiert, Workflow/Planung in 78,2 %, Sicherheit in 58,2 %, Training in 52,7 % berichtet. Feasibility in 72,7 %, Akzeptabilität in 56,4 %, Adoption in 41,8 % dokumentiert. Nachhaltigkeit, technischer Support und Implementierungskosten unterberichtet.;"Implementierungsforschung, qualitative Evidenz; Systemkontext unterschiedlich aber methodisch relevant";42651315;https://pubmed.ncbi.nlm.nih.gov/42651315/
2026-08-28;Blunt TJG et al.;25.08.2026;26.08.2026;Res Involv Engagem;2026;Peer Researcher in Surveys: Training, Support und Evaluation – Narrative Review;Narrative Review von Literatur zu Involvement, Training und Evaluation von Peer Researchers bei survey-basierten Datenerhebungen (Fokus auf methodische Lücken).;PR-Rollen variabel, oft nur Datenerhebung. Training reicht von intensiv strukturiert bis minimal/absent. PR-Involvement verbesserte Rekrutierung, Rapport, Datentiefe, aber systematische Evaluation selten. Herausforderungen: Rollenklarheit unklar, unzureichende Unterstützung, hierarchische Dynamiken, Tokenismus.;"Partizipative Forschungsmethoden relevant für deutsches HSR; Evidenz international heterogen";42642786;https://pubmed.ncbi.nlm.nih.gov/42642786/
2026-08-28;Alabdulaali M et al.;19.08.2026;26.08.2026;BMC Health Serv Res;2026;Systems Thinking in Public-Health-Interventionen: Barrieren und Facilitators;Systematisches Review von 15 Studien zu Implementierung von Systems-Thinking-Ansätzen in Public-Health-Interventionen, Barrieren und Facilitators in 2013–2025.;Hauptfacilitatoren: Stakeholder-Engagement, Co-Production, Integration in bestehende Systeme, inkrementelle Kapazitätsbildung, Leadership-Support. Barrieren: Schwierigkeit, Systemkonzepte umzusetzen, Personalknappheit, fragmentierte Datensysteme, starre Governance, externe Disruptionen (z.B. COVID-19).;"Internationale Studien aber Implementierungsrahmen systemunabhängig; relevant für Reformkontexte wie Deutschland";42642760;https://pubmed.ncbi.nlm.nih.gov/42642760/
2026-08-28;Petzold T et al.;21.08.2026;26.08.2026;BMC Health Serv Res;2026;Räumliche Erreichbarkeit von Hospizen in Deutschland: Vergleich von Messmethoden;Vergleich von vier Methoden zur Messung der räumlichen Erreichbarkeit von Hospizen anhand von 295 deutschen Einrichtungen.;"90,3 % der Bevölkerung erreichen ein Hospiz innerhalb von 30 min. Methoden zeigen unterschiedliche Ergebnisse: Provider-to-Population-Ratio zeigt 36,4 Betten pro 1 Mio. Einwohner national; FCA-Methoden sind heterogener, besonders in ländlichen Regionen. Die Wahl der Methode beeinflusst Ergebnisse erheblich.";"Deutsche Hospize, Routinedaten; direkt übertragbar auf deutsches Versorgungssystem";42642757;https://pubmed.ncbi.nlm.nih.gov/42642757/
